AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A580225,Jade,1/20/15 13:35,Return_to_owner,,Dog,Spayed Female,4 years,Pit Bull Mix,White/Tan,48,1
A691670,Ranger,11/23/14 16:50,Adoption,,Dog,Neutered Male,8 months,Border Collie Mix,Black/White,8,11
A686542,Vinny,8/30/14 14:22,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby,2,8
A689759,Rex,10/14/14 12:17,Return_to_owner,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Merle/Tan,12,10
A666154,Gizmo,12/27/13 13:15,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,12,12
A706904,Summit,7/5/15 18:28,Return_to_owner,,Dog,Spayed Female,4 years,Australian Shepherd Mix,Brown Merle,48,7
A666607,,11/4/13 15:01,Transfer,Partner,Dog,Intact Female,0 years,Beagle/Chihuahua Shorthair,White,0,11
A671254,Artemis,1/27/14 17:40,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Gray,24,1
A720798,Cubbie,2/21/16 18:16,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown,24,2
A692907,Bock,2/14/15 16:50,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Red/Black,24,2
A704726, Joanie,7/5/15 13:59,Adoption,,Dog,Spayed Female,8 years,Border Collie Mix,Black,96,7
A696245,Fugi,2/1/15 13:22,Died,,Dog,Intact Male,5 years,German Shepherd Mix,Black/Brown,60,2
A677548,,4/26/14 15:31,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Black,0.75,4
A688340,Willey,9/22/14 12:18,Return_to_owner,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Blue Tabby,48,9
A692504,Osyrus,11/25/14 14:14,Transfer,Partner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Gray Tabby/White,84,11
A689199,Snickers,10/7/14 15:35,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,12,10
A604969,Buddy,5/25/14 14:05,Return_to_owner,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Brown Brindle,72,5
A665898,Markie,2/2/14 17:04,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,12,2
A681882,Ollie,6/22/14 16:13,Transfer,Partner,Dog,Intact Male,2 months,Dachshund Mix,Red/White,2,6
A678114,,5/4/14 13:52,Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Blue Tabby,0.1,5
A687680,,9/8/14 18:53,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby,0.166666667,9
A694051,,12/26/14 16:13,Transfer,Partner,Dog,Intact Male,2 weeks,Anatol Shepherd Mix,Black,0.5,12
A717662,,12/16/15 18:59,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,12,12
A710111,Petunia,8/29/15 17:18,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,2,8
A691940,Hannah,12/27/14 13:11,Adoption,,Dog,Spayed Female,2 years,Basenji Mix,Tricolor,24,12
A714696,,10/27/15 13:28,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Medium Hair Mix,Brown Tabby,1,10
A710389,Frodo,8/30/15 12:58,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,2,8
A699929,Coco,4/11/15 12:28,Return_to_owner,,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Tan,24,4
A715569,Janey,11/21/15 12:10,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby/White,6,11
A712782,,9/29/15 9:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,12,9
A681379,Coffee,6/15/14 18:03,Euthanasia,Medical,Dog,Intact Male,4 years,Labrador Retriever/Pit Bull,Tan,48,6
A704674,Reina,8/2/15 13:00,Adoption,Foster,Dog,Spayed Female,1 month,Dachshund Wirehair/Miniature Poodle,Tricolor,1,8
A719844,Niner,1/30/16 17:22,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/Black,12,1
A700947,Mack,6/4/15 17:34,Return_to_owner,,Dog,Neutered Male,3 years,Australian Shepherd Mix,Black/Brown,36,6
A712421,Cameron,11/11/15 13:53,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby,2,11
A682537,Coconut,6/29/14 15:09,Transfer,Partner,Dog,Intact Female,3 months,Chihuahua Shorthair/Border Terrier,White/Buff,3,6
A671459,Cain,1/26/14 12:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull,Brown,36,1
A688095,Mr. Bones,9/16/14 15:40,Transfer,Partner,Dog,Intact Male,2 years,Pekingese,Cream,24,9
A676225,Gypsy,5/5/14 12:32,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Blue,24,5
A704526,Lucy,11/10/15 12:08,Transfer,Partner,Dog,Spayed Female,10 months,Pointer Mix,White/Brown,10,11
A709714,,8/12/15 14:33,Euthanasia,Suffering,Cat,Unknown,1 week,Domestic Shorthair Mix,Black Tabby,0.25,8
A611226,Leon,3/22/15 14:50,Return_to_owner,,Dog,Neutered Male,4 years,Border Terrier/Bruss Griffon,Brown,48,3
A664986,,10/13/13 15:24,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico/White,12,10
A668187,Roo,12/1/13 17:59,Return_to_owner,,Dog,Neutered Male,2 years,Rhod Ridgeback Mix,Brown/White,24,12
A706376,Harley,7/11/15 14:56,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Tan/Black,24,7
A664073,Parker,10/7/13 17:06,Adoption,,Dog,Neutered Male,2 years,Hovawart Mix,Black/Tan,24,10
A679610,Lady J,5/28/14 17:19,Adoption,,Dog,Spayed Female,1 year,Shiba Inu/Siberian Husky,Yellow/White,12,5
A694224,Juno,12/23/14 11:07,Return_to_owner,,Dog,Spayed Female,7 years,Beagle Mix,Tricolor,84,12
A715320,,11/14/15 12:17,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,3,11
A709484,Walter,9/1/15 0:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,4,9
A702584,,5/16/15 9:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,3,5
A703719,Rose,6/6/15 11:29,Return_to_owner,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Cream Tabby,72,6
A664244,Fumanchu,10/31/13 14:56,Adoption,,Dog,Neutered Male,2 months,Pit Bull Mix,Black/Black Brindle,2,10
A712868,Cecil,10/5/15 16:34,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair,Sable/White,24,10
A696267,Riley,2/5/15 17:27,Adoption,,Dog,Neutered Male,7 years,Miniature Schnauzer Mix,White,84,2
A668895,Dot,12/11/13 15:31,Return_to_owner,,Dog,Intact Female,10 years,Rat Terrier Mix,Tricolor,120,12
A719996,Danby,2/5/16 15:14,Transfer,Partner,Dog,Intact Male,10 months,Pit Bull Mix,Brown Brindle,10,2
A697431,Pearl,3/9/15 11:42,Adoption,,Dog,Spayed Female,10 years,Maltese,White,120,3
A720201,Kitty Kitty,2/6/16 17:46,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Silver Tabby/White,10,2
A716633,,11/26/15 20:20,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,12,11
A668694,Reece,12/12/13 17:06,Adoption,,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,White,3,12
A663220,Jolene,2/17/14 18:24,Adoption,,Dog,Spayed Female,1 year,Jack Russell Terrier Mix,White/Brown,12,2
A688451,,9/23/14 16:57,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Yellow/White,2,9
A669979,,12/31/13 14:58,Return_to_owner,,Dog,Neutered Male,7 years,Pomeranian Mix,Red,84,12
A616205,Milo,3/13/14 17:19,Return_to_owner,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black,24,3
A712305,Saturn,10/4/15 16:33,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White,36,10
A668644,Chuck,2/11/14 15:41,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Tan,12,2
A706057,Sam,7/22/15 17:41,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,3,7
A676269,,6/1/14 16:09,Adoption,Offsite,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black,1,6
A675148,Freckles,4/16/14 12:50,Transfer,Partner,Dog,Spayed Female,7 months,Australian Cattle Dog Mix,Blue Merle/Tan,7,4
A669875,Daisy,12/30/13 14:06,Return_to_owner,,Dog,Spayed Female,5 years,Lhasa Apso Mix,Black,60,12
A699875,,4/4/15 13:27,Transfer,Partner,Dog,Intact Female,1 month,Rat Terrier Mix,Tricolor,1,4
A689503,Pickle,11/13/14 13:37,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Black,10,11
A717756,Sugar,1/7/16 13:32,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,White,24,1
A709221,Ceily,8/24/15 16:11,Died,In Kennel,Cat,Intact Female,2 months,Domestic Longhair Mix,Black,2,8
A719259,,1/21/16 13:04,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Black,2,1
A686882,Stella,8/28/14 17:44,Return_to_owner,,Dog,Spayed Female,9 months,Pit Bull/Boxer,Red/White,9,8
A676084,Ginger,4/16/14 17:08,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Brown Tabby,10,4
A667424,,11/19/13 18:59,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Black/Tan,1,11
A711633,Remy,9/14/15 13:43,Transfer,Partner,Dog,Intact Male,5 months,Labrador Retriever/Collie Rough,Brown/Red,5,9
A691710,,11/9/14 9:00,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,3,11
A674239,Zeke,3/18/14 11:31,Transfer,Partner,Dog,Neutered Male,5 years,American Eskimo,White,60,3
A715884,Buppie,1/16/16 16:45,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,Brown/White,24,1
A698770,Molly,5/30/15 16:20,Adoption,Foster,Dog,Spayed Female,6 months,Boxer Mix,Black/White,6,5
A705183,Kenny,10/15/15 12:03,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown,12,10
A710654,,9/14/15 19:08,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby/White,1,9
A676931,,4/17/14 14:30,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,0.75,4
A696397,Peanut,2/8/15 18:16,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown Brindle,2,2
A687943,,9/12/14 15:51,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby,0.25,9
A689169,,9/30/14 15:48,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby,0.5,9
A665467,,10/21/13 15:37,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Blue,12,10
A675963,Rusty,4/8/14 17:50,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Buff,36,4
A385442,Clyde,1/11/14 16:00,Return_to_owner,,Dog,Neutered Male,10 years,Labrador Retriever Mix,Cream/Tan,120,1
A701210,Charlie,5/3/15 16:31,Adoption,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Red,24,5
A704184,,6/7/15 15:31,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,1,6
A701020,Domino,7/3/15 16:07,Adoption,,Dog,Neutered Male,3 years,Miniature Poodle Mix,Black,36,7
A668161,,11/28/13 15:14,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Brown Tabby,0.75,11
A683032,Kayro,7/6/14 16:06,Return_to_owner,,Dog,Neutered Male,3 years,Doberman Pinsch Mix,Chocolate/Tan,36,7
A702854,,5/21/15 14:13,Transfer,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White,24,5
A702186,Silky Coco,6/11/15 19:15,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tricolor,48,6
A687788,Pepe,9/12/14 17:41,Adoption,,Dog,Neutered Male,3 months,Dachshund,Tricolor,3,9
A714814,Barley,11/3/15 11:52,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby/White,1,11
A667384,,11/21/13 18:23,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Tan,2,11
A705344,Eggs,7/18/15 18:28,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,2,7
A706750,Bubba,8/2/15 16:17,Adoption,,Dog,Neutered Male,3 years,Pit Bull/English Bulldog,White/Brown,36,8
A715648,Aura,12/5/15 16:55,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,12
A710779,Jeeves,9/14/15 17:20,Adoption,,Dog,Neutered Male,1 year,Dachshund/Miniature Pinscher,Black/Brown,12,9
A670765,,1/17/14 15:06,Euthanasia,Suffering,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,White/Tan,144,1
A687292,Tinker,12/26/14 12:18,Adoption,Foster,Dog,Spayed Female,6 months,Chihuahua Shorthair Mix,Black/Tan,6,12
A690243,,10/16/14 18:31,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby,0.75,10
A706829,,7/18/15 19:03,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2,7
A663614,Bingo,10/12/13 17:14,Adoption,,Dog,Spayed Female,4 years,Border Collie Mix,Blue Merle/White,48,10
A702114,Umami,5/24/15 17:27,Euthanasia,Suffering,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,24,5
A710175,,8/20/15 9:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black,4,8
A697969,Zelda,3/15/15 11:45,Transfer,Partner,Dog,Spayed Female,2 years,German Shepherd/Chinese Sharpei,Tan,24,3
A694409,,12/31/14 16:25,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,12
A684992,Ernie,8/3/14 15:36,Transfer,Partner,Dog,Intact Male,4 months,Catahoula/Beagle,White/Tan,4,8
A705100,Harriet,6/22/15 12:58,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,1,6
A607586,Chita,7/30/14 11:02,Return_to_owner,,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Black,36,7
A674327,Bailey,3/31/14 11:20,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,12,3
A711150,Max,9/18/15 13:19,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,5,9
A696899,Nabi,2/19/15 17:44,Return_to_owner,,Dog,Intact Female,3 years,Pit Bull Mix,Brown,36,2
A711768,Canelo,9/16/15 17:49,Adoption,,Dog,Neutered Male,10 months,Golden Retriever Mix,Red,10,9
A703066,Don,8/23/15 18:16,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,3,8
A671560,Gus,2/10/14 17:14,Transfer,Partner,Dog,Neutered Male,4 months,Pointer Mix,White/Brown,4,2
A680196,Joanna,6/10/14 17:08,Return_to_owner,,Dog,Spayed Female,8 months,German Shepherd Mix,Black/Brown,8,6
A691712,Iris,11/25/14 14:08,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,12,11
A706539,Lumos,9/19/15 13:05,Adoption,,Cat,Neutered Male,6 years,Domestic Medium Hair Mix,Brown Tabby/White,72,9
A695864,Daisy,2/1/15 14:54,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby,84,2
A695625,,1/23/15 17:16,Adoption,,Dog,Spayed Female,6 months,Chihuahua Shorthair Mix,Brown,6,1
A701037,Pete,5/3/15 13:02,Return_to_owner,,Dog,Neutered Male,6 years,Australian Shepherd,Black/White,72,5
A674454,Romy,3/13/14 14:44,Return_to_owner,,Dog,Spayed Female,13 years,Cardigan Welsh Corgi/Jack Russell Terrier,Black,156,3
A666600,,11/4/13 14:54,Transfer,Partner,Dog,Intact Male,0 years,Beagle/Chihuahua Shorthair,White,0,11
A698804,Hailey,5/30/15 16:43,Adoption,,Dog,Spayed Female,1 year,Catahoula Mix,Black/White,12,5
A694558,Willow,1/2/15 14:08,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,24,1
A676457,Rainy Bow,4/17/14 14:52,Transfer,Partner,Dog,Spayed Female,15 years,Dachshund Mix,Black/Tan,180,4
A712571,Max,9/27/15 12:34,Adoption,Offsite,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Silver/Tan,12,9
A687987,Koda,12/29/15 10:05,Adoption,Foster,Dog,Spayed Female,5 years,Pit Bull Mix,Brown/White,60,12
A691718,Babs,12/19/14 9:21,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,2,12
A706767,Cam,7/11/15 9:51,Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black,1,7
A705600,,6/23/15 13:25,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby,1,6
A720146,Nd,2/3/16 16:30,Return_to_owner,,Dog,Spayed Female,5 years,Cairn Terrier Mix,Gray,60,2
A686328,,8/20/14 17:11,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White,1,8
A714505,,10/29/15 13:01,Adoption,,Dog,Neutered Male,5 years,Papillon Mix,Black/White,60,10
A685312,Lokita,8/12/14 13:33,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Longhair Mix,Black/White,72,8
A685396,Walter,8/10/14 17:28,Adoption,,Dog,Neutered Male,2 months,German Shepherd,Black/Tan,2,8
A709712,Hiro,8/25/15 12:05,Transfer,Partner,Dog,Intact Male,1 year,American Pit Bull Terrier Mix,Blue Tick/White,12,8
A705652,Modelo,8/18/15 14:03,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,12,8
A666579,,11/9/13 11:02,Return_to_owner,,Dog,Neutered Male,3 months,Havanese Mix,White/Black,3,11
A700426,Marco,4/20/15 17:42,Euthanasia,Aggressive,Dog,Intact Male,1 year,Pit Bull Mix,Black/White,12,4
A691059,Trevor,11/8/14 11:11,Return_to_owner,,Dog,Intact Male,3 years,Labrador Retriever Mix,Black,36,11
A707775,,7/17/15 15:49,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Brown/White,12,7
A697023,Lucas,4/11/15 17:35,Adoption,,Dog,Neutered Male,1 year,German Shepherd,Sable,12,4
A680626,Preston,6/21/14 14:53,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,2,6
A666382,,11/2/13 14:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,4,11
A679360,Dexter,6/30/14 10:38,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,2,6
A669638,Rufus,7/29/14 12:58,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White,12,7
A703261,Oreo,5/23/15 17:07,Return_to_owner,,Dog,Intact Male,8 years,Boston Terrier Mix,Black Brindle/White,96,5
A711797,,9/12/15 13:12,Return_to_owner,,Cat,Unknown,4 months,Domestic Shorthair Mix,Black,4,9
A701212,Jack,4/26/15 15:11,Return_to_owner,,Dog,Intact Male,8 years,Siberian Husky,Black/White,96,4
A692239,Bb,11/17/14 18:22,Return_to_owner,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie,60,11
A716690,Pywackett,11/30/15 14:56,Transfer,Partner,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Torbie,10,11
A674003,Casper,3/9/14 13:11,Transfer,Partner,Dog,Neutered Male,2 months,Labrador Retriever/Pointer,White/Tan,2,3
A668809,Skippy Jon,12/22/13 17:50,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Brown/White,3,12
A707730,Buddy,8/4/15 14:58,Adoption,,Cat,Neutered Male,3 years,Siamese Mix,Seal Point,36,8
A702927,Gretchen,5/28/15 14:39,Euthanasia,Medical,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Black/Tan,24,5
A474311,Shadow,5/5/15 11:27,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby,96,5
A680165,,5/30/14 14:38,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.75,5
A710504,Corey,8/25/15 18:51,Return_to_owner,,Dog,Spayed Female,2 years,Norfolk Terrier/Dachshund,Cream,24,8
A662154,Navaho,10/13/13 19:09,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby,24,10
A716990,Maximus,12/7/15 0:00,Transfer,Partner,Dog,Neutered Male,3 years,Cocker Spaniel Mix,Black/White,36,12
A689341,Storm,10/10/14 16:38,Adoption,,Dog,Neutered Male,5 months,Border Collie/German Shepherd,Black/Tricolor,5,10
A676138,Sanders,6/13/14 14:15,Return_to_owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow,12,6
A717408,Joy,12/11/15 17:53,Adoption,,Dog,Spayed Female,2 months,Queensland Heeler Mix,White/Black,2,12
A702468,,5/15/15 9:00,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Black,10,5
A692196,Chula,1/6/15 9:25,Died,In Foster,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Tortie,144,1
A702758,Annie,5/26/15 17:18,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico,1,5
A700588,,4/16/15 15:07,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,0.033333333,4
A700577,,4/16/15 15:08,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White,0.25,4
A699942,Tuby,4/4/15 17:17,Euthanasia,Suffering,Cat,Neutered Male,17 years,Domestic Shorthair Mix,White/Blue,204,4
A714772,Dandy,11/8/15 17:57,Return_to_owner,,Dog,Neutered Male,3 years,Miniature Poodle Mix,White,36,11
A683496,Sheri,8/17/14 12:24,Adoption,,Dog,Spayed Female,2 years,American Pit Bull Terrier/Boxer,Fawn/White,24,8
A672313,Biggie,2/18/14 14:46,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,24,2
A701645,Jett,6/19/15 17:03,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,3,6
A679502,,5/22/14 19:17,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,White/Black,24,5
A719199,,1/20/16 19:01,Transfer,SCRP,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Blue,36,1
A717071,Noel,12/6/15 17:11,Adoption,,Dog,Spayed Female,2 months,Golden Retriever Mix,Buff/White,2,12
A704202,,6/7/15 18:32,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,6
A692559,Zorro,1/6/15 8:14,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,1
A703448,Karma,6/24/15 12:23,Transfer,Partner,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby,1,6
A692276,Jack,11/28/14 15:47,Adoption,,Dog,Intact Male,1 year,Miniature Poodle/Golden Retriever,White,12,11
A702401,Blue,5/19/15 12:35,Return_to_owner,,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Blue Merle,24,5
A670273,Annie,3/21/14 11:49,Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever/Chesa Bay Retr,Brown/White,24,3
A701172,,4/24/15 18:51,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,White/Black,0.066666667,4
A710447,Brodie,9/9/15 19:20,Transfer,Partner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Tan/Silver,24,9
A678992,,5/15/14 11:26,Transfer,Partner,Cat,Intact Male,4 days,Domestic Medium Hair Mix,Black,0.133333333,5
A683041,,7/6/14 13:48,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,0.75,7
A681513,Chicho,6/17/14 17:08,Return_to_owner,,Dog,Intact Male,7 years,Rat Terrier Mix,Tricolor,84,6
A693282,Sampson,11/5/15 11:37,Return_to_owner,,Dog,Neutered Male,2 years,Staffordshire Mix,Chocolate,24,11
A685150,Chuy,8/7/14 11:13,Return_to_owner,,Dog,Intact Male,12 years,Chihuahua Longhair Mix,Buff,144,8
A673438,,2/26/14 15:12,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby,24,2
A680411,Elliott,6/6/14 14:05,Adoption,,Cat,Intact Male,1 month,Snowshoe Mix,Seal Point,1,6
A688912,,9/26/14 14:48,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby,0.5,9
A687956,,9/18/14 17:09,Adoption,,Dog,Spayed Female,3 years,Rottweiler Mix,Black/Tan,36,9
A690308,Swade,10/22/14 12:01,Adoption,,Dog,Neutered Male,4 years,Pug Mix,Fawn/Black,48,10
A701502,,5/26/15 18:53,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White,2,5
A679228,Buttercup,5/24/14 14:35,Adoption,,Dog,Spayed Female,3 years,Brittany/Labrador Retriever,Red,36,5
A708436,Cupid,7/29/15 16:34,Return_to_owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,12,7
A711199,Poochie,9/3/15 15:26,Died,,Dog,Intact Female,2 months,Pit Bull Mix,Black Brindle/White,2,9
A684354,Sam,7/26/14 17:56,Return_to_owner,,Dog,Neutered Male,10 months,Pit Bull Mix,Brown Brindle/White,10,7
A700424,,4/14/15 9:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby,12,4
A670248,Giselle,1/12/14 14:10,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,12,1
A687409,Stacy,9/5/14 17:08,Return_to_owner,,Dog,Spayed Female,2 months,Golden Retriever Mix,Gold,2,9
A669863,Plex,1/15/14 16:05,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown,24,1
A710528,,8/25/15 9:00,Transfer,SCRP,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby,5,8
A696589,Louis,2/15/15 18:16,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,12,2
A718251,Didi,12/31/15 16:40,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever/Beagle,White/Black,1,12
A715262,Ruffo,11/4/15 18:12,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White,12,11
A686268,Tupac,8/30/14 16:49,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black/White,8,8
